gadget_name,function
Space Bonsai,Grows miniature galaxies
Space Bonsai,Grows miniature extragalactic nebula
Time Stop Watch 2.0,interruption time selectively
Time Stop Watch 2.0,Pauses sentence selectively
Time Stop Watch 2.0,break time selectively
Time Stop Watch 2.0,Pauses time selectively
Time Stop Watch 2.0,intermission time selectively
Doraemon's Pocket 2.0,Indexed 4D storehouse
Doraemon's Pocket 2.0,Indexed 4D computer memory
Doraemon's Pocket 2.0,Indexed 4D reposition
Doraemon's Pocket 2.0,Indexed 4D storage
Doraemon's Pocket 2.0,Indexed 4D memory
Devil's Cards 3.0,Card games alter destinies
Devil's Cards 3.0,placard games alter destinies
Devil's Cards 3.0,Card game alter destinies
Devil's Cards 3.0,wag games alter destinies
Devil's Cards 3.0,Card plot alter destinies
AI Growth Kit,ascent friendly AI
AI Growth Kit,Raises friendly AI
AI Growth Kit,hike friendly AI
AI Growth Kit,climb friendly AI
AI Growth Kit,wage increase friendly AI
Space Shogi,Interstellar scheme game
Space Shogi,Interstellar strategy game
Space Shogi,interstellar strategy game
Space Shogi,Interstellar strategy secret plan
Space Shogi,Interstellar strategy plot
Time Patrol Badge 2.0,authorisation over multiverses
Time Patrol Badge 2.0,Authority over multiverses
Time Patrol Badge 2.0,assurance over multiverses
Time Patrol Badge 2.0,sanction over multiverses
Time Patrol Badge 2.0,government agency over multiverses
4D Cleaning Robot,Organizes pocket property
4D Cleaning Robot,Organizes pocket dimensions
4D Cleaning Robot,Organizes air pocket dimensions
4D Cleaning Robot,Organizes sack dimensions
4D Cleaning Robot,Organizes pocket dimension
Devil's Lamp 3.0,Genie interprets compliments literally
Devil's Lamp 3.0,Genie interprets wishes literally
Devil's Lamp 3.0,Genie rede wishes literally
Devil's Lamp 3.0,Genie interprets want literally
Devil's Lamp 3.0,Genie render wishes literally
Dorami's Time Machine 3.0,Time travel with family seating
Dorami's Time Machine 3.0,clock time travel with family seating
Dorami's Time Machine 3.0,Time travel with sept seating
Dorami's Time Machine 3.0,Time travel with family seating room
Dorami's Time Machine 3.0,Time travelling with family seating
Space Origami Crane,Flies between wizard
Space Origami Crane,Flies between stars
Space Origami Crane,fly front between stars
Space Origami Crane,fly sheet between stars
Space Origami Crane,fly ball between stars
Time Tape 2.0,Mends realness fractures
Time Tape 2.0,Mends realism fractures
Time Tape 2.0,Mends reality cracking
Time Tape 2.0,Mends reality fractures
Time Tape 2.0,mend reality fractures
Devil's Megaphone 4.0,vocalisation commands rewrite physics
Devil's Megaphone 4.0,voice commands rewrite physics
Devil's Megaphone 4.0,Voice command rewrite physics
Devil's Megaphone 4.0,Voice commands rewrite physics
Devil's Megaphone 4.0,Voice dominate rewrite physics
Molecular Cookie,Changes eater 's penning
Molecular Cookie,Changes eater's composition
Molecular Cookie,alteration eater 's composition
Molecular Cookie,Changes eater 's paper
Molecular Cookie,Changes eater 's composing
Doraemon's Bell 3.0,Summons twin Doraemons
Doraemon's Bell 3.0,Summons parallel Doraemons
Doraemon's Bell 3.0,Summons collimate Doraemons
Doraemon's Bell 3.0,process parallel Doraemons
Doraemon's Bell 3.0,summons parallel Doraemons
4D Pocket GPS,Tracks turn a loss gadgets
4D Pocket GPS,Tracks drop off gadgets
4D Pocket GPS,Tracks lost gadgets
4D Pocket GPS,trail lost gadgets
4D Pocket GPS,Tracks misplace gadgets
Devil's Dice 6.0,Creates/destroys macrocosm
Devil's Dice 6.0,Creates/destroys population
Devil's Dice 6.0,Creates/destroys cosmos
Devil's Dice 6.0,Creates/destroys universes
Devil's Dice 6.0,Creates/destroys world
Space Go,Play on star-based board
Space Go,Play on star-based panel
Space Go,meet on star-based board
Space Go,Play on star-based control board
Space Go,Play on star-based card
Time Paradox Vaccine,Immunizes against timeline alteration
Time Paradox Vaccine,Immunizes against timeline change
Time Paradox Vaccine,Immunizes against timeline variety
Time Paradox Vaccine,Immunizes against timeline modification
Time Paradox Vaccine,Immunizes against timeline changes
Dorami's 4D Pocket 2.0,Improved storage capacitance
Dorami's 4D Pocket 2.0,Improved storage capability
Dorami's 4D Pocket 2.0,Improved storage capacity
Dorami's 4D Pocket 2.0,improve storage capacity
Dorami's 4D Pocket 2.0,amend storage capacity
Devil's Camera 5.0,Erases 'memories' from reality
Devil's Camera 5.0,Erases 'memories ' from world
Devil's Camera 5.0,Erases 'memories ' from realism
Devil's Camera 5.0,Erases 'memories ' from realness
Emotion Amplifier,Magnifies impression 100x
Emotion Amplifier,Magnifies flavor 100x
Emotion Amplifier,Magnifies feel 100x
Emotion Amplifier,Magnifies feelings 100x
Emotion Amplifier,Magnifies look 100x
4D Fridge 2.0,Preserves items across timelines
4D Fridge 2.0,Preserves point across timelines
4D Fridge 2.0,Preserves items across timeline
4D Fridge 2.0,Preserves token across timelines
4D Fridge 2.0,Preserves detail across timelines
Space Shogi 2.0,Play with nebula pieces
Space Shogi 2.0,Play with nebula composition
Space Shogi 2.0,frolic with nebula pieces
Space Shogi 2.0,looseness with nebula pieces
Space Shogi 2.0,Play with nebula while
Time Machine NEO,Folds spacetime for instant travel
Time Machine NEO,Folds spacetime for exigent travel
Time Machine NEO,sheep pen spacetime for instant travel
Time Machine NEO,Folds spacetime for inst travel
Time Machine NEO,Folds spacetime for instant travelling
Devil's Passport Pro,wishing with delayed consequences
Devil's Passport Pro,Wishes with delayed result
Devil's Passport Pro,Wishes with delayed consequences
Devil's Passport Pro,want with delayed consequences
Devil's Passport Pro,Wishes with delayed upshot
Doraemon's Pocket 3.0,Voice-activated recovery
Doraemon's Pocket 3.0,Voice-activated retrieval
Molecular Cooker,Creates nutrient from atoms
Molecular Cooker,Creates solid food from atoms
Molecular Cooker,Creates food from atoms
Molecular Cooker,Creates food for thought from atoms
Molecular Cooker,Creates intellectual nourishment from atoms
4D Vacuum 2.0,Sucks upwardly spacetime debris
4D Vacuum 2.0,Sucks up spacetime debris
4D Vacuum 2.0,Sucks up spacetime dust
4D Vacuum 2.0,Sucks upward spacetime debris
4D Vacuum 2.0,Sucks upwards spacetime debris
Devil's Lamp 4.0,Genie with ironic twists
Devil's Lamp 4.0,Genie with ironic device
Devil's Lamp 4.0,djinn with ironic twists
Devil's Lamp 4.0,Genie with ironical twists
Devil's Lamp 4.0,jinnee with ironic twists
Space Flute 3.0,Communicates with quasar
Space Flute 3.0,Communicates with quasars
Space Flute 3.0,Communicates with quasi-stellar radio source
Time TV NEO,Interactive timeline edit out
Time TV NEO,synergistic timeline editing
Time TV NEO,interactive timeline editing
Time TV NEO,Interactive timeline editing
Time TV NEO,interactional timeline editing
Dorami's First Aid Kit 4.0,Heals plot maw
Dorami's First Aid Kit 4.0,Heals plot of land holes
Dorami's First Aid Kit 4.0,Heals plot of ground holes
Dorami's First Aid Kit 4.0,Heals secret plan holes
Dorami's First Aid Kit 4.0,Heals plot holes
Devil's Dice 7.0,Reshapes narratives
Devil's Dice 7.0,Reshapes narrative
Devil's Dice 7.0,Reshapes narration
Devil's Dice 7.0,Reshapes tale
Devil's Dice 7.0,Reshapes story
4D Pocket Ultra 2.0,Stores concepts
4D Pocket Ultra 2.0,Stores conception
4D Pocket Ultra 2.0,Stores concept
4D Pocket Ultra 2.0,storage concepts
4D Pocket Ultra 2.0,memory concepts
Emotion Freezer,interruption feelings temporarily
Emotion Freezer,intermission feelings temporarily
Emotion Freezer,Pauses feelings temporarily
Emotion Freezer,Pauses tone temporarily
Emotion Freezer,Pauses notion temporarily
Space Picture Book,Stories become real in space
Space Picture Book,Stories become literal in space
Space Picture Book,Stories become existent in space
Space Picture Book,Stories get real in space
Space Picture Book,account become real in space
Time Patrol NEO,Multiverse police
Time Patrol NEO,Multiverse police force
Time Patrol NEO,Multiverse constabulary
Time Patrol NEO,Multiverse law
Devil's Camera 6.0,Erases 'time ' from objective
Devil's Camera 6.0,Erases 'time ' from target
Devil's Camera 6.0,Erases 'time ' from object
Devil's Camera 6.0,Erases 'time ' from physical object
Devil's Camera 6.0,Erases 'time' from objects
Doraemon's Bell 4.0,bidding author for help
Doraemon's Bell 4.0,summons author for help
Doraemon's Bell 4.0,Summons author for helper
Doraemon's Bell 4.0,Summons author for help
Doraemon's Bell 4.0,Summons writer for help
Molecular Instrument,maneuver atomic structures
Molecular Instrument,manoeuvre atomic structures
Molecular Instrument,Plays nuclear structures
Molecular Instrument,Plays atomic structures
Molecular Instrument,period of play atomic structures
4D Freezer 3.0,Freezes construct
4D Freezer 3.0,freezing concepts
4D Freezer 3.0,Freezes concepts
4D Freezer 3.0,Freezes conception
4D Freezer 3.0,frost concepts
Devil's Passport Ultra,realism overclocking
Devil's Passport Ultra,reality overclocking
Devil's Passport Ultra,Reality overclocking
Devil's Passport Ultra,realness overclocking
Devil's Passport Ultra,world overclocking
Space Shogi 3.0,Play with dark matter
Space Shogi 3.0,looseness with dark matter
Space Shogi 3.0,Play with sour matter
Space Shogi 3.0,Play with dingy matter
Space Shogi 3.0,gaming with dark matter
Time Machine Ultra 2.0,Travel through fable
Time Machine Ultra 2.0,Travel through fiction
Time Machine Ultra 2.0,travelling through fiction
Time Machine Ultra 2.0,travel through fiction
Time Machine Ultra 2.0,change of location through fiction
Dorami's 4D Pocket 3.0,"Themed memory ( e.g. , sweets )"
Dorami's 4D Pocket 3.0,"theme storage ( e.g. , sweets )"
Dorami's 4D Pocket 3.0,"Themed storage ( e.g. , sweetness )"
Dorami's 4D Pocket 3.0,"Themed storage (e.g., sweets)"
Dorami's 4D Pocket 3.0,"Themed reposition ( e.g. , sweets )"
Devil's Lamp 5.0,Genie with memetic hazard
Devil's Lamp 5.0,jinni with memetic hazards
Devil's Lamp 5.0,Genie with memetic endangerment
Devil's Lamp 5.0,Genie with memetic hazards
Devil's Lamp 5.0,djinn with memetic hazards
Emotion Teleport,Sends belief to others
Emotion Teleport,Sends flavor to others
Emotion Teleport,Sends feelings to others
Emotion Teleport,Sends intuitive feeling to others
Emotion Teleport,Sends opinion to others
4D Pocket NEO,Adaptive dimensional storage
4D Pocket NEO,Adaptive dimensional depot
4D Pocket NEO,adaptive dimensional storage
4D Pocket NEO,adaptative dimensional storage
4D Pocket NEO,Adaptive dimensional warehousing
Space Music Box 2.0,Harmonizes cosmic backcloth
Space Music Box 2.0,Harmonizes cosmic screen background
Space Music Box 2.0,Harmonizes cosmic scope
Space Music Box 2.0,Harmonizes cosmic setting
Space Music Box 2.0,Harmonizes cosmic background
Time Paradox Armor,Protects from retcons
Devil's Dice 8.0,whorl for omniversal reset
Devil's Dice 8.0,pealing for omniversal reset
Devil's Dice 8.0,bun for omniversal reset
Devil's Dice 8.0,paradiddle for omniversal reset
Devil's Dice 8.0,Roll for omniversal reset
Doraemon's Pocket 4.0,contraption auto-suggest
Doraemon's Pocket 4.0,Gadget auto-suggest
Doraemon's Pocket 4.0,appliance auto-suggest
Doraemon's Pocket 4.0,gadget auto-suggest
Doraemon's Pocket 4.0,convenience auto-suggest
Molecular Toy,physical body anything atom-by-atom
Molecular Toy,physique anything atom-by-atom
Molecular Toy,body-build anything atom-by-atom
Molecular Toy,Builds anything atom-by-atom
Molecular Toy,figure anything atom-by-atom
4D Vacuum 3.0,Cleans switch realities
4D Vacuum 3.0,Cleans alternate realness
4D Vacuum 3.0,Cleans alternate world
4D Vacuum 3.0,Cleans alternate reality
4D Vacuum 3.0,Cleans alternate realities
Devil's Camera 7.0,Erases 'existence'
Space Chess 2.0,Play with quantum pieces
Space Chess 2.0,fun with quantum pieces
Space Chess 2.0,gambling with quantum pieces
Space Chess 2.0,manoeuvre with quantum pieces
Space Chess 2.0,Play with quantum slice
Time TV Ultra 2.0,broadcast to past/future
Time TV Ultra 2.0,Broadcasts to past/future
Time TV Ultra 2.0,program to past/future
Time TV Ultra 2.0,programme to past/future
Dorami's First Aid Kit 5.0,cure 'power creep '
Dorami's First Aid Kit 5.0,Cures 'power weirdie '
Dorami's First Aid Kit 5.0,Cures 'power spook '
Dorami's First Aid Kit 5.0,curative 'power creep '
Dorami's First Aid Kit 5.0,Cures 'power creep'
Devil's Passport Final 2.0,absolute control over narrative
Devil's Passport Final 2.0,Absolute restraint over narrative
Devil's Passport Final 2.0,Absolute controller over narrative
Devil's Passport Final 2.0,Absolute ascendency over narrative
Devil's Passport Final 2.0,Absolute control over narrative
Emotion Amplifier 2.0,Projects flavor globally
Emotion Amplifier 2.0,Projects feelings globally
Emotion Amplifier 2.0,Projects belief globally
Emotion Amplifier 2.0,Projects touch globally
Emotion Amplifier 2.0,Projects spirit globally
4D Fridge 4.0,preserve 'moments '
4D Fridge 4.0,preserves 'moments '
4D Fridge 4.0,Preserves 'moments'
4D Fridge 4.0,conserve 'moments '
4D Fridge 4.0,conserves 'moments '
Space Bonsai 2.0,Grows pocket cosmos
Space Bonsai 2.0,Grows pocket population
Space Bonsai 2.0,Grows pocket universe
Space Bonsai 2.0,Grows pocket universes
Space Bonsai 2.0,Grows air pocket universes
Time Machine Final 2.0,Transcends canon
Devil's Lamp Final,Genie with no demarcation line
Devil's Lamp Final,djinny with no limits
Devil's Lamp Final,jinnee with no limits
Devil's Lamp Final,Genie with no limit
Devil's Lamp Final,Genie with no limits
Doraemon's Bell Final 2.0,process all Doraemons
Doraemon's Bell Final 2.0,Summons all Doraemons
Doraemon's Bell Final 2.0,summons all Doraemons
Doraemon's Bell Final 2.0,bidding all Doraemons
Molecular Rebuilder 2.0,Rewrites purgative
Molecular Rebuilder 2.0,Rewrites aperient
Molecular Rebuilder 2.0,revision physics
Molecular Rebuilder 2.0,rescript physics
Molecular Rebuilder 2.0,Rewrites physics
4D Pocket Final 2.0,Contains all possible action
4D Pocket Final 2.0,Contains all opening
4D Pocket Final 2.0,Contains all possibleness
4D Pocket Final 2.0,Contains all hypothesis
4D Pocket Final 2.0,Contains all possibilities
Devil's Dice Final,cast for reboot
Devil's Dice Final,paradiddle for reboot
Devil's Dice Final,bowl for reboot
Devil's Dice Final,Roll for reboot
Devil's Dice Final,scroll for reboot
Space Flute Final 2.0,Sings new world
Space Flute Final 2.0,Sings young realities
Space Flute Final 2.0,Sings new realities
Space Flute Final 2.0,Sings new realism
Space Flute Final 2.0,Sings fresh realities
Time Patrol Final 2.0,sentry go all fiction
Time Patrol Final 2.0,guard all fiction
Time Patrol Final 2.0,Guards all fabrication
Time Patrol Final 2.0,Guards all fiction
Time Patrol Final 2.0,safety all fiction
Dorami's 4D Pocket Final,infinite dessert dimension
Dorami's 4D Pocket Final,space dessert dimension
Dorami's 4D Pocket Final,Infinite sweet dimension
Dorami's 4D Pocket Final,Infinite dessert proportion
Dorami's 4D Pocket Final,Infinite dessert dimension
Devil's Camera Final 2.0,Erases quaternary wall
Devil's Camera Final 2.0,Erases fourth bulwark
Devil's Camera Final 2.0,Erases fourth paries
Devil's Camera Final 2.0,Erases 4th wall
Devil's Camera Final 2.0,Erases fourth wall
Emotion Transmitter Final,share all feelings universally
Emotion Transmitter Final,Share all notion universally
Emotion Transmitter Final,contribution all feelings universally
Emotion Transmitter Final,Share all flavour universally
Emotion Transmitter Final,Share all feelings universally
4D Vacuum Final,Erases plot cakehole
4D Vacuum Final,Erases plot muddle
4D Vacuum Final,Erases patch holes
4D Vacuum Final,Erases plot holes
4D Vacuum Final,Erases plot hole
Space Shogi Final,drama with omniversal pieces
Space Shogi Final,free rein with omniversal pieces
Space Shogi Final,Play with omniversal piece
Space Shogi Final,Play with omniversal part
Space Shogi Final,Play with omniversal pieces
Time TV Final,Watch all potential timelines
Time TV Final,spotter all possible timelines
Time TV Final,lookout man all possible timelines
Time TV Final,Watch all possible timeline
Time TV Final,Watch all possible timelines
Devil's Passport Omega,Control over all fabrication
Devil's Passport Omega,ascendancy over all fiction
Devil's Passport Omega,command over all fiction
Devil's Passport Omega,Control over all fiction
Devil's Passport Omega,Control over all fable
Doraemon's Heart,The ultimate widget of friendship
Doraemon's Heart,The ultimate gadget of friendly relationship
Doraemon's Heart,The ultimate gadget of friendship
Doraemon's Heart,The ultimate convenience of friendship
Doraemon's Heart,The ultimate contrivance of friendship
4D Pocket AI 2.0,AI with prognostic gadget retrieval
4D Pocket AI 2.0,AI with predictive contrivance retrieval
4D Pocket AI 2.0,AI with predictive gadget retrieval
4D Pocket AI 2.0,AI with predictive gismo retrieval
4D Pocket AI 2.0,AI with predictive appliance retrieval
Emotion Recorder,Records and replays feelings
Emotion Recorder,Records and replays touch
Emotion Recorder,Records and replays notion
Emotion Recorder,phonograph recording and replays feelings
Emotion Recorder,Records and instant replay feelings
Devil's Diary,Written entries turn reality
Devil's Diary,Written entries go reality
Devil's Diary,Written entries become realism
Devil's Diary,Written entries become reality
Devil's Diary,Written entries become realness
Space Kaleidoscope,Views collimate dimensions
Space Kaleidoscope,scene parallel dimensions
Space Kaleidoscope,Views parallel dimensions
Space Kaleidoscope,Views parallel attribute
Space Kaleidoscope,thought parallel dimensions
Time Seeing Glasses,See temporal ripples
Time Seeing Glasses,find out temporal ripples
Time Seeing Glasses,See worldly ripples
Time Seeing Glasses,realise temporal ripples
Time Seeing Glasses,See secular ripples
Dorami's Maintenance Kit,fix future tech
Dorami's Maintenance Kit,Repairs future tense tech
Dorami's Maintenance Kit,Repairs future tech
Dorami's Maintenance Kit,hangout future tech
Dorami's Maintenance Kit,reparation future tech
Devil's Dice 9.0,Shuffles world-wide constants
Devil's Dice 9.0,Shuffles universal invariable
Devil's Dice 9.0,Shuffles universal constant
Devil's Dice 9.0,Shuffles general constants
Devil's Dice 9.0,Shuffles universal constants
Plant Language Translator,Talks to plants in detail
Plant Language Translator,Talks to flora in detail
Plant Language Translator,Talks to plant in detail
Plant Language Translator,Talks to plants in contingent
Plant Language Translator,talks to plants in detail
Space Wind Chime,Plays euphony from cosmic winds
Space Wind Chime,Plays music from cosmic flatus
Space Wind Chime,Plays music from cosmic winds
Space Wind Chime,Plays music from cosmic malarkey
Space Wind Chime,Plays medicine from cosmic winds
Time Paradox Buffer,Absorbs timeline jar
Time Paradox Buffer,Absorbs timeline shocks
Time Paradox Buffer,Absorbs timeline impact
Time Paradox Buffer,Absorbs timeline jounce
Time Paradox Buffer,Absorbs timeline seismic disturbance
4D Fridge 5.0,Preserves items across realism
4D Fridge 5.0,Preserves items across realities
4D Fridge 5.0,Preserves token across realities
4D Fridge 5.0,conserves items across realities
4D Fridge 5.0,Preserves items across reality
Devil's Colored Pencils,Drawings spay their subjects
Devil's Colored Pencils,Drawings alter their national
Devil's Colored Pencils,Drawings change their subjects
Devil's Colored Pencils,Drawings alter their subjects
Devil's Colored Pencils,draught alter their subjects
Doraemon's Ears 2.0,Enhanced auditory modality sensors
Doraemon's Ears 2.0,Enhanced hearing sensing element
Doraemon's Ears 2.0,Enhanced hearing sensor
Doraemon's Ears 2.0,Enhanced hearing sensors
Doraemon's Ears 2.0,Enhanced hearing detector
Space Sugoroku,display board game with real planets
Space Sugoroku,Board game with real planet
Space Sugoroku,Board game with genuine planets
Space Sugoroku,plug-in game with real planets
Space Sugoroku,Board game with real planets
Time Capsule Ultra,Sends physical objective to past/future
Time Capsule Ultra,Sends physical objects to past/future
Time Capsule Ultra,Sends forcible objects to past/future
Time Capsule Ultra,Sends physical physical object to past/future
Time Capsule Ultra,Sends strong-arm objects to past/future
Devil's Camera 8.0,Erases 'space ' from objective
Devil's Camera 8.0,Erases 'space ' from aim
Devil's Camera 8.0,Erases 'space' from objects
Devil's Camera 8.0,Erases 'space ' from object
Devil's Camera 8.0,Erases 'space ' from target
Molecular Fashion,Clothes that change material
Molecular Fashion,Clothes that commute material
Molecular Fashion,Clothes that change textile
Molecular Fashion,Clothes that change cloth
Molecular Fashion,apparel that change material
Dorami's First Aid Kit 6.0,therapeutic 'out-of-character ' moments
Dorami's First Aid Kit 6.0,remedy 'out-of-character ' moments
Dorami's First Aid Kit 6.0,Cures 'out-of-character' moments
Dorami's First Aid Kit 6.0,Cures 'out-of-character ' present moment
Dorami's First Aid Kit 6.0,Cures 'out-of-character ' moment
Dream Lens 2.0,Projects corporate dreams
Dream Lens 2.0,Projects collective dream
Dream Lens 2.0,Projects collective dreams
Dream Lens 2.0,Projects collective aspiration
Dream Lens 2.0,labor collective dreams
4D Telescope 2.0,check through time and space
4D Telescope 2.0,get a line through time and space
4D Telescope 2.0,See through time and space
4D Telescope 2.0,See through clip and space
4D Telescope 2.0,See through meter and space
Devil's Passport NEO2,want with poetic irony
Devil's Passport NEO2,Wishes with poetic caustic remark
Devil's Passport NEO2,Wishes with poetic irony
Devil's Passport NEO2,Wishes with poetical irony
Devil's Passport NEO2,wish with poetic irony
Space Moss Ball,Contains mini-ecosystems
Time Stop Watch 3.0,Pauses time in selected orbit
Time Stop Watch 3.0,Pauses fourth dimension in selected areas
Time Stop Watch 3.0,Pauses time in selected surface area
Time Stop Watch 3.0,Pauses time in selected areas
Time Stop Watch 3.0,Pauses time in choose areas
Doraemon's Pocket 5.0,Voice-controlled dimensional accession
Doraemon's Pocket 5.0,Voice-controlled dimensional approach
Doraemon's Pocket 5.0,Voice-controlled dimensional admittance
Doraemon's Pocket 5.0,Voice-controlled dimensional access
Doraemon's Pocket 5.0,Voice-controlled dimensional admission
Devil's Cards 4.0,Card games rewrite history
Devil's Cards 4.0,circuit card games rewrite history
Devil's Cards 4.0,Card biz rewrite history
Devil's Cards 4.0,Card games rewrite story
Devil's Cards 4.0,Card plot rewrite history
AI Growth Kit 2.0,Raises AI with emotions
AI Growth Kit 2.0,wage hike AI with emotions
AI Growth Kit 2.0,rise AI with emotions
AI Growth Kit 2.0,raise AI with emotions
AI Growth Kit 2.0,lift AI with emotions
Space Chess 3.0,Play with dark energy spell
Space Chess 3.0,Play with dark zip pieces
Space Chess 3.0,Play with dark energy pieces
Space Chess 3.0,Play with dark energy piece
Space Chess 3.0,Play with dark energy bit
Time Patrol Badge 3.0,office over narratives
Time Patrol Badge 3.0,self-assurance over narratives
Time Patrol Badge 3.0,federal agency over narratives
Time Patrol Badge 3.0,Authority over narrative
Time Patrol Badge 3.0,Authority over narratives
4D Cleaning Robot 2.0,Organizes multiversal welter
4D Cleaning Robot 2.0,Organizes multiversal jumble
4D Cleaning Robot 2.0,Organizes multiversal smother
4D Cleaning Robot 2.0,Organizes multiversal muddle
4D Cleaning Robot 2.0,Organizes multiversal clutter
Devil's Lamp 6.0,djinny with existential dread
Devil's Lamp 6.0,jinni with existential dread
Devil's Lamp 6.0,Genie with existential apprehension
Devil's Lamp 6.0,Genie with experiential dread
Devil's Lamp 6.0,Genie with existential dread
Dorami's Time Machine 4.0,Time change of location with safety protocols
Dorami's Time Machine 4.0,Time traveling with safety protocols
Dorami's Time Machine 4.0,Time travelling with safety protocols
Dorami's Time Machine 4.0,Time travel with safety communications protocol
Dorami's Time Machine 4.0,Time travel with safety protocols
Space Origami 2.0,Folds spacetime precisely
Space Origami 2.0,Folds spacetime on the button
Space Origami 2.0,Folds spacetime just
Space Origami 2.0,Folds spacetime incisively
Space Origami 2.0,sheepfold spacetime precisely
Time Tape 3.0,Repairs major timeline binge
Time Tape 3.0,mending major timeline tears
Time Tape 3.0,fixing major timeline tears
Time Tape 3.0,reparation major timeline tears
Time Tape 3.0,Repairs major timeline tears
Devil's Megaphone 5.0,Voice suit physical force
Devil's Megaphone 5.0,Voice becomes strong-arm force
Devil's Megaphone 5.0,Voice becomes physical force
Devil's Megaphone 5.0,Voice becomes physical military unit
Devil's Megaphone 5.0,vocalization becomes physical force
Molecular Candy,Changes eater 's property
Molecular Candy,change eater 's properties
Molecular Candy,variety eater 's properties
Molecular Candy,Changes eater 's place
Molecular Candy,Changes eater's properties
Doraemon's Bell 5.0,bidding genre-specific Doraemons
Doraemon's Bell 5.0,summons genre-specific Doraemons
Doraemon's Bell 5.0,Summons genre-specific Doraemons
Doraemon's Bell 5.0,process genre-specific Doraemons
4D Pocket GPS 2.0,Tracks lost items across prison term
4D Pocket GPS 2.0,Tracks lost detail across time
4D Pocket GPS 2.0,Tracks lost items across time
4D Pocket GPS 2.0,Tracks lost items across clip
4D Pocket GPS 2.0,Tracks lost particular across time
Devil's Dice 10.0,Chooses between multiverses
Space Go 2.0,Play with neutron star topology
Space Go 2.0,Play with neutron superstar
Space Go 2.0,free rein with neutron stars
Space Go 2.0,Play with neutron stars
Space Go 2.0,Play with neutron star
Time Paradox Vaccine 2.0,Immunizes against retcons
Dorami's 4D Pocket 4.0,Themed repositing ( emergencies )
Dorami's 4D Pocket 4.0,theme storage ( emergencies )
Dorami's 4D Pocket 4.0,Themed storage (emergencies)
Dorami's 4D Pocket 4.0,Themed store ( emergencies )
Dorami's 4D Pocket 4.0,Themed depot ( emergencies )
Devil's Camera 9.0,Erases 'meaning ' from object
Devil's Camera 9.0,Erases 'meaning ' from physical object
Devil's Camera 9.0,Erases 'meaning ' from objective
Devil's Camera 9.0,Erases 'meaning' from objects
Devil's Camera 9.0,Erases 'meaning ' from aim
Emotion Amplifier 3.0,task feelings physically
Emotion Amplifier 3.0,Projects spirit physically
Emotion Amplifier 3.0,Projects feelings physically
Emotion Amplifier 3.0,Projects flavour physically
Emotion Amplifier 3.0,undertaking feelings physically
4D Fridge 6.0,Preserves 'ideas'
4D Fridge 6.0,preserves 'ideas '
4D Fridge 6.0,conserve 'ideas '
4D Fridge 6.0,preserve 'ideas '
4D Fridge 6.0,conserves 'ideas '
Space Shogi 4.0,Play with quasi-stellar radio source pieces
Space Shogi 4.0,Play with quasar slice
Space Shogi 4.0,swordplay with quasar pieces
Space Shogi 4.0,Play with quasar patch
Space Shogi 4.0,Play with quasar pieces
Time Machine NEO2,bend narratives for travel
Time Machine NEO2,Folds narratives for travelling
Time Machine NEO2,Folds narrative for travel
Time Machine NEO2,Folds tale for travel
Time Machine NEO2,Folds narratives for travel
Devil's Passport Pro2,Wishes with spectacular irony
Devil's Passport Pro2,Wishes with dramatic sarcasm
Devil's Passport Pro2,want with dramatic irony
Devil's Passport Pro2,Wishes with dramatic irony
Devil's Passport Pro2,wish with dramatic irony
Doraemon's Pocket 6.0,Auto-adapts to user motivation
Doraemon's Pocket 6.0,Auto-adapts to user motive
Doraemon's Pocket 6.0,Auto-adapts to user indigence
Doraemon's Pocket 6.0,Auto-adapts to user needs
Doraemon's Pocket 6.0,Auto-adapts to user pauperization
Molecular Cooker 2.0,Creates food from imaging
Molecular Cooker 2.0,Creates food from imagination
Molecular Cooker 2.0,Creates nutrient from imagination
Molecular Cooker 2.0,Creates food from resourcefulness
Molecular Cooker 2.0,Creates intellectual nourishment from imagination
4D Vacuum 4.0,clean and jerk conceptual clutter
4D Vacuum 4.0,Cleans conceptual smother
4D Vacuum 4.0,Cleans conceptual mare's nest
4D Vacuum 4.0,Cleans conceptual clutter
4D Vacuum 4.0,Cleans conceptual muddle
Devil's Lamp 7.0,Genie with philosophic traps
Devil's Lamp 7.0,Genie with philosophical traps
Devil's Lamp 7.0,Genie with philosophical sand trap
Devil's Lamp 7.0,Genie with philosophical hole
Devil's Lamp 7.0,djinn with philosophical traps
Space Flute 4.0,Communicates with dimensions
Space Flute 4.0,Communicates with attribute
Space Flute 4.0,Communicates with property
Space Flute 4.0,Communicates with dimension
Space Flute 4.0,Communicates with proportion
Time TV NEO2,Edits shew reruns
Time TV NEO2,Edits demonstrate reruns
Time TV NEO2,Edits show rerun
Time TV NEO2,Edits establish reruns
Time TV NEO2,Edits show reruns
Dorami's First Aid Kit 7.0,remedy 'jumping the shark '
Dorami's First Aid Kit 7.0,curative 'jumping the shark '
Dorami's First Aid Kit 7.0,therapeutic 'jumping the shark '
Dorami's First Aid Kit 7.0,Cures 'jumping the shark'
Dorami's First Aid Kit 7.0,cure 'jumping the shark '
Devil's Dice 11.0,reset character development
Devil's Dice 11.0,Resets character ontogenesis
Devil's Dice 11.0,Resets character ontogeny
Devil's Dice 11.0,Resets character development
Devil's Dice 11.0,Resets character evolution
